"[how to sort/filter] 
[* = see notes col]
[gray = older info]","is it
aging?",aging mission?,core aging area?,multiple aging diseases?,core aging confs?,"is it
rejuvenation? (y/n)",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage (& link to pipeline),"pipeline image 
[if not clickable, use clin stage link]",Tx or Dx,"categories 
(map to SENS & hallmarks)","diseases/ indications 
[not comprehensive or canonicalized]",species for final products,clinical trials,targets / pathway / MoAs,modalities,regulatory category,team,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI,year founded,tot. raised (US$M),$ curr conv rate as of Aug'24,$ curr conv rate (dynamic),raised other curr,pharma partners/ investors,deals $ value (US$M),product names,pubs/ papers,as of (last full row update),date added to list,notes,full overall score,score w/o 4p focus,aging focus score,4-prong focus score (confs wght less),operating status score,pipeline image bonus,clin. stage score,# employees score,total raised / valuation score,Tx > Dx,pharma > supplements / unreg,pubs bonus,Unnamed: 51,check for all 4 no,updated since Jul 2024?
"Alkahest 
(owned by Grifols)",yes,yes,yes,yes,yes,yes,"acquired*, operating independly","leads from blood proteins that go up or down with age, eg young blood fractions",ph.2 trials,,Tx,cell communication,"AD, PD, wAMD, ESRD MCI",humans,13,,"drugs, biologics, blood fractions",pharma,"Esther Rawner, Tony Wyss-Coray",SF,public owner,,,$265,,59.0,2014,$50,,,,Grifols,,,papers,2024-07-26,2019,"*Aquired by Grifols (remaining 55% for $146M) Sep'20, but website still operating indepedently.",7.38,7.4,1.0,1.0,0.8,1.1,2.2,2.5,3.5,1.0,1.0,1.2,,0,1
Immunis Inc.,yes,yes,yes,yes,yes,yes,operating,"stem-cell secretome products for age-driven immune dysfunction, muscle regeneration & metabolism",ph.2 trials,,Tx,stem cells,"muscle atrophy, woulds, metadb, neuroDs, immuneDs",humans,3,,secretome cocktail,pharma,Hans Keirstead,LA,no,,,,,17.0,2018,$32,,,,,,IMMUNA,"2024, 2021 papers",2024-08-18,2023-01-24,Not to be confused with Immunis.AI.,7.36,7.4,1.0,1.0,1.0,1.1,2.2,1.8,2.2,1.0,1.0,1.2,,0,1
Biosplice (was Samumed),yes,no,yes,yes,no,yes,operating,"alt splicing by targeting CLK/DYRK kinases w/ small molecules (came to this via work on Wnt pathway) to eliminate harmful proteins, 1st for OA, onco, neuro",ph.3 trials,,Tx,"splicing, proteostasis?","OA, deg-discD, cancer, AD, TBI, tauDs",humans,22,CLK/DYRK family kinases,small molecules,pharma,Cevdet Samikoglu,SD,no,,,,,42.0,2008,$778,,,,,,"Lorecivivint, Cirtuvivint",several,2024-07-15,2019,Formerly called Samumed.,7.03,11.7,1.0,0.6,1.0,1.1,3.3,2.3,4.1,1.0,1.0,1.2,,0,1
Life Biosciences,yes,yes,yes,yes,yes,yes,operating,epigenetic reprogramming via OSK and small molecules for chaperone mediated autophagy,pre-clinical,,Tx,"epigenetic, autophagy","eyeDs, neuroDs",humans,,"OSK, LAMP2A","gene therapy, small molecules",pharma,"David Sinclair, Jerry McLaughlin",Boston,no,,,,,22.0,2017,$207,,,,,,,papers,2024-08-04,2019,Originally an umbrella company focused on aging with many notable professors in the field involved.,6.94,6.9,1.0,1.0,1.0,1.1,0.6,1.9,3.3,1.0,1.0,1.2,,0,1
Retro Biosciences,yes,yes,yes,yes,yes,yes,operating,"HSC reprogramming, autophagy enhancement, & apheresis-inspired microglia therapeutics w/ goal to extend healthspan 10yrs",ph.1 trials,,Tx,"epigenetic, autophagy, stem cells","AD, OA, hearing loss",humans,0,,"small molecules, stem cells, TFs",pharma,Joe Betts-LaCroix,SF,no,,,,,57.0,2021,$180,,,,,,,,2024-08-01,2021-05-11,,6.84,6.8,1.0,1.0,1.0,1.1,1.1,2.5,3.2,1.0,1.0,1.0,,0,1
Rubedo Life Sciences,yes,yes,yes,yes,yes,yes,operating,"target pathological cells that drive aging, esp senescent cells, using AI, single cell seq, & precision targeting through computational drug design inc pro-drugs",ph.1 trials,,Tx,senescence,"AD, psoriosis, IPF, NASH, cancer, sclerosis",humans,0,GPX4,small molecules,pharma,Marco Quarta,SF,no,,,,,28.0,2018,$54,,,,,,,papers,2024-08-06,2019,"Announced strategy multi-year partnership with skin care giant Beiersdorf, to develop aging skin products esp senolytics, Apr'24.",6.79,6.8,1.0,1.0,1.0,1.1,1.1,2.1,2.5,1.0,1.0,1.2,,0,1
Cambrian Bio,yes,yes,yes,yes,yes,,operating,"umbrella company focused on aging w/ leads in AMPK, mitochondria, mTOR, & more.",ph.1 trials*,,Tx,umbrella company,"cardiometabolic, cancer",humans,0*,"AMPK, mTOR",drugs,pharma,James Peyer,NYC,no,,,,,32.0,2019,$203,,,,,,,,2024-07-13,2020-05-03,"*Pipeline image shows ph.1/2a for ATX-304 & Amplifier website pipeline shows just ph.2 but can't find trial on clinicaltrials.gov under either company name or ATX-304 as of Jul'24 so using press release of 1b. Portfolio companies include: Amplifier Tx, Isterian, Oviva Tx, Telos Bio, Tornado Tx, & Vita Tx.",6.56,6.6,1.0,1.0,1.0,1.1,1.1,2.2,3.3,1.0,1.0,1.0,,0,1
Denali Therapeutics,only neuro*,yes,yes,yes,no,,operating,"drug discovery for neurodegeneration, optimized for brain delivery, guided by genetics & biomarkers, but also lysosomal storage disesaes & systemic inflam.",ph.3 trials,,Tx,"autophagy, inflammation","PD, FTD, Hunter's, ALS, AD, MS, inflammation",humans,22,"eIF2B, iduronate 2-sulfatase, LRRK2, progranulin, sulfamidase, alpha-L-iduronidase","small molecules, biologics",pharma,Ryan Watts,SF,yes,DNLI,,"$3,059",375.0,422.0,2015,"$1,100",,,,,,,papers,2024-08-01,2019,,6.5,7.2,0.5,0.9,1.0,1.1,3.3,3.8,5.0,1.0,1.0,1.2,,0,1
Stealth BioTherapeutics,yes,yes,yes,yes,no,no,operating,mitochondria platform for age & genetic mito diseases; first a peptide to stabilize inner mito membrane,FDA accelerated approval,,Tx,mitochondria,"AMD, DMD, ALS, mito-neuroDs",humans,29,cardiolipin,"peptides, small molecules",pharma,Reenie McCarthy,Boston,no*,,,,,66.0,2007,$191,,,,,,Elamipretide,several publications,2024-07-16,2019,"*Was public, but taken private in 2022.",6.34,7.0,1.0,0.9,1.0,1.1,0.0,2.6,3.3,1.0,1.0,1.2,,0,1
Centenara Labs (was Rejuveron),yes,yes,yes,yes,,,operating,umbrella company focused on aging,ph.2 trials*,,Tx,umbrella company,"RP, dAMD, cancer, sacropenia, IPF, neuroDs",humans,0,,,pharma,"Aksana Labokha, Christian Angermayer",Zurich,no,,,,,14.0,2019,$86,,,,,,,,2024-08-02,2021-05-06,"*Endogena pipeline says 2a trials as of Aug'24. Portfolio companies include Endogena, Rejuvenate Biomed, Rejuveron Senescence Tx, Rejuveron Telomere Tx, Rejuveron Vascular Tx, Boost Neuro.",5.95,6.6,1.0,0.9,1.0,1.1,2.2,1.6,2.8,1.0,1.0,1.0,,0,1
Ossium Health,yes,yes,yes,no,no,yes,operating,"allogeneic cell therapies from (deceased human donor) bone marrow for hematologic diseases, organ rejection & bone matrix allografts for musculoskeletal defects","ph.2 trials, 
commercial",,Tx,stem cells / allogeneic,"GVHD, multivisceral transplant, musculoskeletal defects",humans,9,CD34+ cells,cell therapy,pharma,"Kevin Caldwell, Erik Woods","SF, Indianapolis",no,,,,,99.0,2016,$137,,,,,,"
OssiGraft",papers,2024-08-12,2024-08-12,,5.84,9.7,1.0,0.6,1.0,1.1,2.2,2.9,3.1,1.0,1.0,1.2,,0,1
Alnylam,borderline*,no,yes,yes,no,no,operating,"general platform to develop RNA interference (RNAi) therapieus to silence disease-specific genes, with broad application to many age-related disease areas",FDA approved,,Tx,proteostasis,"(h)ATTR(-CM), AD, HD, ALS, T2D, MASH, NAFLD, hypercholesterolemia, hypertension",humans,82,"ATTR, APP, PCSK9, AGT, HTT, SOD-1, HSD17B13",siRNA,pharma,"Yvonne Greenstreet, Kevin Fitzgerald",Boston,yes,ALNY,,"$42,868",2100.0,2442.0,2002,>$100M,,,,,,"Onpattro, Amvuttra, Leqvio",science presentations,2025-02-02,2024-08-15,"*Borderline: Broad product pipeline & mission of RNAi therapeutics makes it more like a modality-themed generic med-to-big pharma rather than aging company, but pipeline includes majority age-related diseases with tx for several misfolded proteins (ATTR, AD, HD, ALS) & multiple CVD related diseases (ATTR, hypercholesterolemia, & hypertension) plus misc age-related liver/metabolic (MASH, T2D, NAFLD).",5.71,9.5,0.5,0.6,1.0,1.1,4.4,4.8,6.6,1.0,1.0,1.2,,0,1
Elevian,yes,yes,yes,yes,yes,,operating,"recombinant GDF11, first for stroke",pre-clinical,,Tx,cell communication,"stroke, pancreatitis, wound healing, cardiometabolicDs",humans,,GDF11,biologics,pharma,Mark Allen,Boston,no,,,,,11.0,2017,$64,,,,,,,bottom of page,2024-08-12,2019,,5.56,5.6,1.0,1.0,1.0,1.1,0.6,1.5,2.6,1.0,1.0,1.2,,0,1
Attralus,yes,no,yes,yes,no,yes,operating,pan-amalyoid diagnostics & therapeutics for amyloid diseases: systemic amyloidosis (ATTR & AL) & neurodegenerative diseases w/ misfolded proteins,ph.2 trials,,"Tx, Dx",proteostasis,"systemic amyloidosis, AD, PD",humans,3,"ATTR, AL, Aβ, Tau, α-synuclein",peptides,"pharma, reg Dx",Mark Timney,SF,no,,,,,31.0,2019,$198,,,,,,,posters & pubs,2024-10-19,2020-01-04,"Formerly called Aurora Bio (not to be confused with several other companies called Aurora Bio: Sydney based medical device maker Aurora BioScience, cancer company Aurora BioPharma, drug discovery system company Aurora Biosciences, acquired by Vertex in 2001).",5.49,9.1,1.0,0.6,1.0,1.1,2.2,2.1,3.3,1.0,1.0,1.2,,0,1
Longeveron,yes,yes,yes,yes,no,yes,operating,allogeneic mesenchymal stem cells f/ bone marrow,ph.2 trials,,Tx,"stem cells / allogeneic, mitochondria*","frailty, AD, metabolicDs, ARDS, HLHS",humans,10,MSCs,cell therapy,pharma,"Wa’el Hashad, Joshua Hare",Miami,yes,LGVN,,$33,23.0,26.0,2014,$34.0,,,,,,Lomecel-B,,2024-07-28,2019,"*Primarily stem cells, but MoA page notes that mitochondrial transfer (transplant) is one of the MoAs (injected SCs donate mitochondria). 
Lomecel-B got RMAT designation from FDA (first cell therapy to get this for AD) as of Jul'24.",5.77,6.4,1.0,0.9,1.0,1.1,2.2,2.0,2.2,1.0,1.0,1.0,,0,1
Athersys Inc,yes,no,yes,yes,no,yes,operating,allogeneic stem cells,ph.3 trials (Japan ph3 done),,Tx,stem cells / allogeneic,"stroke, ARDS, trauma, neuroDs, CVD, lungDs",humans,4,,cell therapy,pharma,Daniel Camardo,"Cleveland, OH",no*,,,,,37.0,1995,$209,,,,,,MultiStem,,2024-08-01,2019,*Was public but delisted in 2023. RMAT designation in stroke.,5.32,8.9,1.0,0.6,1.0,1.1,3.3,2.2,3.3,1.0,1.0,1.0,,0,1
Minovia Therapeutics,yes,yes,yes,no,no,yes,operating,"placenta-derived allogeneic mitochondria for ex-vivo transplantation into stem cells (esp HSPCs), for mitochondrial diseases & aging",ph.2 trials,,Tx,"mitochondria, stem cells","Pearson, MDS, KSS, CAR-T",humans,7,CD34+ HSPCs,cell therapy,pharma,Natalie Yivgi-Ohana,Israel,no,,,,,30.0,2012,$16.1,,,,Astellas ($420M),$420,,papers,2024-08-15,2019,,5.17,8.6,1.0,0.6,1.0,1.1,2.2,2.1,2.9,1.0,1.0,1.2,,0,1
Rejuvenate Biomed,yes,yes,yes,yes,no,no,operating,"platform for finding synergistic combinations of existing approved drugs for age-related diseases, lead combines metformin & galantamine (an AD drug)",ph.1 trials*,,Tx,"broad platform, metabolism, inflammation","sarcopenia, OA",humans,0,"AMPK, AChE",small molecules,pharma,Ann Beliën,Belgium,no,,,,,14.0,2017,$23,1.1,1.17,,,,,1 paper for lead,2024-09-04,2023-05-29,"*Pipeline diagram makes it look like its in phase 2 already, but can't find the trials on clinicaltrials.gov site. 
Rejuveron sub-company. Not to be confused with Rejuvenate Bio.",5.08,5.6,1.0,0.9,1.0,1.1,1.1,1.6,2.0,1.0,1.0,1.2,,0,1
Vaxxinity (website removed all info intentionally*),yes,,yes,yes,no,,operating*,"synthetic peptide vaccines for chronic diseases inc. AD, PD, migraine, & hypercholesterolemia (& infections inc Covid)",ph.3 trials,,Tx,proteostasis,"AD, PD, CVD, Covid",humans,9,"Aβ, α-synuclein, cholesterol",peptide vaccine,pharma,,"Florida, NYC",no*,,,,,63.0,2014,$9.3,,,,,,,paper; old paper,2024-08-04,2019,"*Was public (ticker VAXX) but voluntarily delisted May'24 & removed all info from main website as of Aug'24 (says it's gone dark, but still there), but investor relations website still has info at ir.vaxxinity.com inc. press releases thru Jun'24. FAQ about delisting explains rationale for not reporting public co info but not for website showing less info than a pre-public co. Formerly called United Neuroscience.",5.06,8.4,1.0,0.6,1.0,1.0,3.0,2.6,1.4,1.0,1.0,1.2,,0,1
OrsoBio,yes,no,yes,yes,no,no,operating,"restore energy homeostasis for metabolic disorders via regulating lipid biogenesis & mitochondria entry, mito protonophores (uncoupling), & ↑ NAD+ synthesis ",ph.2 trials*,,Tx,"metabolism, mitochondria","obesity, T2D, NASH, hypertriglyceridemia",humans,4,"ACC2, LXR, ACMSD",small molecules,pharma,Mani Subramanian,SF,no,,,,,17.0,2021,$129,,,,,,,papers,2024-09-11,2024-09-11,"*Pipeline diagram shows phase1, but science page & clinical trials show phase 2, as of Sep'24.",5.03,8.4,1.0,0.6,1.0,1.1,2.2,1.8,3.0,1.0,1.0,1.2,,0,1
Rejuvenation Technologies,yes,yes,yes,yes,yes,yes,operating,"extend telomeres via nucleoside-modfied TERT mRNA lipid nanoparticles, in vitro & in vivo",pre-clinical,,Tx,telomeres,"(I)PF, COPD, CLD, BMF/cytopenia",humans,,telomerase,RNA,pharma,"John Ramunas, Glenn Markov",SF,no,,,,,20.0,2017,$15.2,,,,,,,papers,2024-08-07,2019,,4.97,5.0,1.0,1.0,1.0,1.1,0.6,1.9,1.7,1.0,1.0,1.2,,0,1
Aeovian,yes,yes,yes,yes,no,no,operating,selective mTORC1 inhibitors & (mostly CNS penetrant) inhibitors of CD38 (which degrades NAD+),ph.1 trials,,Tx,"metabolism / mTOR, mitochondria / NAD+","epilepsy, neuroDs, metabolicDs",humans,1,"mTOR, CD38",small molecules,pharma,,SF,no,,,,,10.0,2012,$87,,,,,,,,2024-07-27,2019,Mar'24 raised $50M led by Hevolution (first public Hevolution lead investment). Formerly called Aeonian.,4.78,5.3,1.0,0.9,1.0,1.1,1.1,1.4,2.8,1.0,1.0,1.0,,0,1
Ichor Life Sciences,yes,yes,yes,yes,yes,yes,operating,CRO & umbrella company focused on aging,"commercial, pre-clinical",,Tx,"CRO, umbrella company, intracell junk",AMD,humans,,,"small molecules, biologics",pharma,Kelsey Moody,"Syracuse, NY",no,,,,,38.0,2013,$4.5,,,,,,,several,2024-08-03,2019,"2021: shifted to focus on service (CRO) offerings rather than being primarily an umbrella development company (previously called Ichor Therapeutics), but still has an aging emphasis & portfolio of sub-companies. Portfolio companies include: LysoClear, MitoChem, Auctus Bio, & Lento Bio.",4.58,4.6,1.0,1.0,1.0,1.0,0.5,2.3,1.1,1.0,1.0,1.2,,0,1
InSilico Medicine,borderline*,yes,,yes,yes,,operating,AI for drug discovery platform with particular focus on aging diseases,ph.2 trials,,Tx,broad platform,"IPF, kidneyDs, cancer, Covid",humans,6,"TNIK, USP1, QPCTL, PHD, KAT6, 3CLpro",small molecules,pharma,"Alex Zhavoronkov, Feng Ren","China, UAE, US, Canada",yes,3696.hk,HKG:3696,"$4,534",319.0,268.0,2014,$536,,,,Lilly 2.75B Sanofi 1.2B J&J,"$3,950",,200+ papers,2024-08-18,2019,"*Mostly AI for drug discovery (like many companies not focused on aging) but also consistently focused on aging: publishing on it, launching aging-focused sites, creating partnerships,spinning off aging newcos, sponsoring & organizing aging confs (& saving ARDD'26), & having longevity as part of mission on homepage.",4.58,6.5,0.5,0.7,1.0,1.1,2.2,3.5,5.2,1.0,1.0,1.2,,0,1
Gordian Biotechnology,yes,yes,,yes,yes,,operating,mosaic (pooled in vivo) screening in animals best representing target diseases w/ full transcriptome AI analysis,pre-clinical,,Tx,broad platform,,humans,,,gene therapy,pharma,"Francisco LePort, Martin Borch Jensen
",SF,no,,,,,37.0,2018,$60,,,,,,,a few papers + talks ,2024-08-01,2019,"Not to be confused with several other companies named Gordian, in IT, investment banking, & staffing/recruiting.",4.45,6.4,1.0,0.7,1.0,1.0,0.5,2.2,2.6,1.0,1.0,1.2,,0,1
Biophytis,yes,yes,,yes,no,,operating,"drug discovery platform for aging & degenerative conditions based on discovery from plant secondary metabolites, mostly via MoAs that increase resilience",ph.3 trials*,,Tx,broad platform,"sarcopenia, dAMD, MD, obesity, Covid",humans,3,MasR,small molecules,pharma,Stanislas Veillet,Paris,yes,ALBPS.PA,EPA:ALBPS,$0,22.0,25.0,2006,$37,,,,,,"Ruvembri, Sarconeos,Macuneos",sarcopenia; eye,2024-07-28,2019,"*Ph3 trial succeeded, met primary endpoint (reduced incidence respiratory failure or death) ↓44%, significantly: press release, academic paper, but company doesn't seem to be pursuing approval. Not clear what FDA feedback it got. 2023 press release mentioned planning another ph3, but none seems started. Company seems to be pursuing it for sarcopenia & obesity instead.",3.83,6.4,1.0,0.6,1.0,1.1,3.3,2.0,0.0,1.0,1.0,1.2,,0,1
Loyal,yes,yes,yes,yes,yes,no,operating,"drug(s) to treat aging in dogs, by lowering IGF-1 & other metabolism interventions",vet clinical trials,,Tx,metabolism,,dogs,,IGF-1,drugs,veterinary,Celine Halioua,SF,no,,,,,64.0,2019,$150,,,,,,,near page bottom,2024-07-13,2019-12-19,"The company got the FDA to formally accept a clinical trial design using lifespan as an endpoint, a significant regulatory hurdle for the field.",4.32,4.3,1.0,1.0,1.0,1.0,1.5,2.6,3.1,1.0,0.5,1.2,,0,1
Olatec,yes,no,yes,yes,no,no,operating,"oral small molecule NLRP3 inhibitor that lowers inflammation via effects on IL‑1β & IL-18, with some advantages over directly targeting those",ph.2 trials,,Tx,inflammation,"gout flare, cancer, T2D, PD, HF, OA",humans,10,NLRP3,small molecules,pharma,Damaris B. Skouras,"NYC, Boston",no,,,,,15.0,2003,$40,,,,,,dapansutrile,papers,2024-11-23,2024-08-15,,4.31,7.2,1.0,0.6,1.0,1.0,2.0,1.7,2.3,1.0,1.0,1.2,,0,1
Mitotech,yes,yes,yes,yes,yes,no,operating,"mito-targeted small molecules for oxidative stress & lipid peroxidation (cardiolipin peroxidation inhibitors), 1st for eye diseases then neuro & metabolic conditions",ph.3 trials,,Tx,mitochondria,"dAMD, other eye diseases, later AD, PD, ALS, NASH",humans,3,cardiolipin,small molecules,pharma,Natalia Perekhvatova,Russia,no,,,,,8.0,2009,unknown,,,,,,"Visomitin, SkQ1",,2024-09-03,2022-06-20,,4.29,4.3,1.0,1.0,1.0,1.0,3.0,1.3,0.0,1.0,1.0,1.0,,0,1
Oisin Biotechnologies,yes,yes,yes,yes,yes,yes,operating,"repeat doseable genetic medicines (DNA or RNA) for aging (frailty via muscle, kill fat cells & senescent cells) via non-viral gene therapy w/ good non-liver distribution",pre-clinical,,Tx,"senescence, genomic","frailty, obesity, cancer",humans,,"follistatin, fat cells, p16, p53",gene therapy / non-viral,pharma,"Matthew Scholz, John Lewis","SF, Seattle, SD",no,,,,,17.0,2014,$25,,,,,,,,2024-08-05,2019,"First close of $15M series A announced Jul'2024. Spun out OncoSenX for cancer (not on this list since devoted only to cancer, but for the purposes of this list the 2 companies are best considered as one). Uses Entos Pharma's non-viral gene therapy delivery platform.",4.27,4.3,1.0,1.0,1.0,1.0,0.5,1.8,2.0,1.0,1.0,1.0,,0,1
